Source,Target,Label,Weight
Gregory,exempla,DIMEV 134;DIMEV 479;DIMEV 2777,3
Gregory,fragments,DIMEV 4980,1
Gregory,saint’s life,DIMEV 365;DIMEV 370,2
Gregory,tales,DIMEV 4980,1
Guy of Warwick,romances,DIMEV 2907;DIMEV 1782,2
Gwynneth,songs,DIMEV 6551,1
Hailes (Gloucs.),Christ,DIMEV 541,1
Hailes (Gloucs.),legends,DIMEV 4914,1
Hailes (Gloucs.),miracles,DIMEV 541;DIMEV 4914,2
Hancock,hell,DIMEV 5708,1
Harpur,bookplates,DIMEV 5743,1
Harrowing of Hell,Jerusalem,DIMEV 5879,1
Harrowing of Hell,legends,DIMEV 3070,1
Harrowing of Hell,paraphrases,DIMEV 4264,1
Henry II,Henry III,DIMEV 3158,1
Henry II,John,DIMEV 3158,1
Henry III,Bigot,DIMEV 2366,1
Henry III,John,DIMEV 3158,1
Henry III,chronicles,DIMEV 2996;DIMEV 2366,2
Henry III,elegies,DIMEV 2996,1
Henry III,kings of England,DIMEV 2996,1
Henry III,occasional verse,DIMEV 2996,1
Henry V,Agincourt,DIMEV 5456,1
Henry V,Denis,DIMEV 247,1
Henry V,France,DIMEV 5456,1
Henry V,Virgin Mary,DIMEV 247,1
Henry V,chronicles,DIMEV 247,1
Henry V,elegies,DIMEV 3148,1
Henry V,envoys,DIMEV 3148,1
Henry V,historical poems,DIMEV 1591,1
Henry V,political poems,DIMEV 1513,1
Henry V,virelais,DIMEV 5357,1
Henry VI,Denis,DIMEV 247,1
